ARTICLE NUMBER (SKU),EAN,PRODUCT NAME,PRODUCT PHOTO,REGISTERED DESIGN,DESCRIPTION,BRUTTO PRICE,DROPSHIPPING DISCOUNT,WHOLESALE DISCOUNT,COLOR,MATERIAL,PRODUCT DIMENSIONS AND WEIGHT,,DIMENSIONS AND WEIGHT OF THE SHIPMENT,,PHOTOS
BASIC-W2-3w1,5904844919366,Basic mattress for the W2 cot,,,"Basic 3-in-1 mattress sold with the crib. Made of high-quality T-25 flexible foam with medium firmness. The mattress is divided into three parts, making it suitable for every configuration of the 7-in-1 crib.",119,0.2,>20%  <30%,WHITE,T25 foam,122 cm / 72 cm / 6 cm,,,,PHOTO
BASIC-OWAL-3w1,5904844919373,"
Basic mattress for an oval bed",,,"Basic 3-in-1 mattress sold with the crib. Made of high-quality T-25 flexible foam with medium firmness. The mattress is divided into three parts, making it suitable for every configuration of the 7-in-1 crib.",119,0.2,>20%  <30%,WHITE,T25 foam,123 cm / 74 cm / 6 cm,,,,PHOTO
677,5905951599038,Small Basic bed mattress W2,,,Rucken Basic is a complete and proven mattress made of high-quality T-25 elastic foam with medium H3 hardness. It will ensure undisturbed and peaceful sleep in comfortable conditions and the healthy development of your baby from the first days of life.,129,0.2,from 20% to 30%,WHITE,T25 foam,72 cm/ 72 cm/ 11 cm,"1,6 kg",72 cm/ 72 cm/ 11 cm,"1,6 kg",PHOTOS
732,5905951599113,Small Stabil bed mattress W2,,,"Stabil is a mattress with durable and highly elastic latex in the central part, which perfectly adapts to the shape of the baby's body. We managed to enhance the unique features of latex with excellent ventilation and the possibility of natural latex disinfection in a home freezer. All thanks to the production process, which takes place on the most modern machines.",139,0.2,from 20% to 30%,WHITE,Foam,72 cm/ 72 cm/ 11 cm,"1,6 kg",72 cm/ 72 cm/ 11 cm,"1,6 kg",PHOTOS
673,5905951599014,Small Aseptic crib mattress W2,,,"A mattress with excellent antibacterial and antiallergic properties. Like our other mattresses, we made it of highly elastic HR35 foam, but we did not add additional functional layers. Thanks to this, the antibacterial properties of the foam play the main role here, along with excellent and healthy support for the baby.",149,0.2,from 20% to 30%,WHITE,HR35 foam,72 cm/ 72 cm/ 11 cm,"1,8 kg",72 cm/ 72 cm/ 11 cm,"1,8 kg",PHOTOS
676,5905951599021,Small Basic bed mattress OVAL,,,Rucken Basic is a complete and proven mattress made of high-quality T-25 elastic foam with medium H3 hardness. It will ensure undisturbed and peaceful sleep in comfortable conditions and the healthy development of your baby from the first days of life.,129,0.2,>20%  <30%,WHITE,T25 foam,72 cm/ 72 cm/ 11 cm,"1,4 kg",72 cm/ 72 cm/ 11 cm,"1,4 kg",PHOTOS
731,5905951599106,Small Stabil bed mattress OVAL,,,"Stabil is a mattress with durable and highly elastic latex in the central part, which perfectly adapts to the shape of the baby's body. We managed to enhance the unique features of latex with excellent ventilation and the possibility of natural latex disinfection in a home freezer. All thanks to the production process, which takes place on the most modern machines.",139,0.2,>20%  <30%,WHITE,Foam,72 cm/ 72 cm/ 11 cm,"1,4 kg",72 cm/ 72 cm/ 11 cm,"1,4 kg",PHOTOS
675,5905951599007,Small Aseptic crib mattress OVAL,,,"A mattress with excellent antibacterial and antiallergic properties. Like our other mattresses, we made it of highly elastic HR35 foam, but we did not add additional functional layers. Thanks to this, the antibacterial properties of the foam play the main role here, along with excellent and healthy support for the baby.",149,0.2,>20%  <30%,WHITE,HR35 foam,72 cm/ 72 cm/ 11 cm,"1,8 kg",72 cm/ 72 cm/ 11 cm,"1,8 kg",PHOTOS
729,5905951599090,Stabil Large Bed Mattress W2,,,"Stabil is a mattress with durable and highly elastic latex in the central part, which perfectly adapts to the shape of the baby's body. We managed to enhance the unique features of latex with excellent ventilation and the possibility of natural latex disinfection in a home freezer. All thanks to the production process, which takes place on the most modern machines.",159,0.2,>20%  <30%,WHITE,T25 foam,122 cm/ 72 cm/ 11 cm,"3,2 kg",122 cm/ 72 cm/ 11 cm,"3,2 kg",PHOTOS
672,5905951599052,Aseptic Large Bed Mattress W2,,,"A mattress with excellent antibacterial and antiallergic properties. Like our other mattresses, we made it of highly elastic HR35 foam, but we did not add additional functional layers. Thanks to this, the antibacterial properties of the foam play the main role here, along with excellent and healthy support for the baby.",179,0.2,>20%  <30%,WHITE,T25 and HR 35/32 foam,122 cm/ 72 cm/ 11 cm,"3,2 kg",122 cm/ 72 cm/ 11 cm,"3,2 kg",PHOTOS
727,5905951599076,Aero Light Large Bed Mattress W2,,,"Aero light is a combination of excellent ventilation of the 3D mat and the Air Pro system. The core of the mattress is high-quality T25 foam, providing stable support with a hardness of H3.",179,0.2,>20%  <30%,WHITE,T25 and HR 35/32 foam,122 cm/ 72 cm/ 11 cm,"3,4 kg",122 cm/ 72 cm/ 11 cm,"3,4 kg",
671,5905951599069,Aero Large Crib Mattress W2,,,"Aero is probably the best breathable mattress on the market. The excellent ventilation of the Air Pro system used in our mattresses is additionally supported by a 3D mat added over the entire surface.

Thanks to Rucken Aero, you will create a comfortable zone with the perfect temperature between your baby's back and the mattress. The Aero mattress means definitely fewer wake-ups caused by overheating.",199,0.2,>20%  <30%,WHITE,T25 and HR 35/32 foam,122 cm/ 72 cm/ 11 cm,"3,8 kg",122 cm/ 72 cm/ 11 cm,"3,8 kg",
730,5905951599083,Stabil Large Bed Mattress OVAL,,,"Stabil is a mattress with durable and highly elastic latex in the central part, which perfectly adapts to the shape of the baby's body. We managed to enhance the unique features of latex with excellent ventilation and the possibility of natural latex disinfection in a home freezer. All thanks to the production process, which takes place on the most modern machines.",159,0.2,>20%  <30%,WHITE,T25 foam,122 cm/ 72 cm/ 11 cm,"3,2 kg",122 cm/ 72 cm/ 11 cm,"3,2 kg",PHOTOS
674,5905951599045,Aseptic Large Bed Mattress OVAL,,,"A mattress with excellent antibacterial and antiallergic properties. Like our other mattresses, we made it of highly elastic HR35 foam, but we did not add additional functional layers. Thanks to this, the antibacterial properties of the foam play the main role here, along with excellent and healthy support for the baby.",179,0.2,>20%  <30%,WHITE,T25 and HR 35/32 foam,122 cm/ 72 cm/ 11 cm,"3,2 kg",122 cm/ 72 cm/ 11 cm,"3,2 kg",PHOTOS
664,5907222788998,Aero Light Large Bed Mattress OVAL,,,"Aero light is a combination of excellent ventilation of the 3D mat and the Air Pro system. The core of the mattress is high-quality T25 foam, providing stable support with a hardness of H3.",179,0.2,>20%  <30%,WHITE,T25 and HR 35/32 foam,122 cm/ 72 cm/ 11 cm,"3,1 kg",122 cm/ 72 cm/ 11 cm,"3,1 kg",
669,5907222788981,Aero Large Crib Mattress OVAL,,,"Aero is probably the best breathable mattress on the market. The excellent ventilation of the Air Pro system used in our mattresses is additionally supported by a 3D mat added over the entire surface.

Thanks to Rucken Aero, you will create a comfortable zone with the perfect temperature between your baby's back and the mattress. The Aero mattress means definitely fewer wake-ups caused by overheating.",199,0.2,>20%  <30%,WHITE,T25 and HR 35/32 foam,122 cm/ 72 cm/ 11 cm,"3,5 kg",122 cm/ 72 cm/ 11 cm,"3,5 kg",
KOKOS-W2-MINI,5904844911537,COCONUT MATTRESS FOR CRIB 7IN2,,,"COCONUT mattress - parameters:
Mattress type: foam with coconut insert,
Side: double-sided,
Hardness: H3/H4,
Height: 10 cm,
Cover: hypoallergenic, removable, washable at 40 degrees
The mattress fits a small 7-in-1 bed.
Mattress dimensions: 73cm x 73cm.",105,0.2,>20%  <30%,ECRU,Fabric,73 cm/ 73 cm/ 10 cm,"2,5 kg",74 cm/ 74 cm/ 11 cm,3 kg,PHOTOS
KOKOS-W2-MAXI,5904844911544,COCONUT MATTRESS FOR CRIB 7IN1,,,"COCONUT mattress - parameters:
Mattress type: foam with coconut insert,
Side: double-sided,
Hardness: H3/H4,
Height: 10 cm,
Cover: hypoallergenic, removable, washable at 40 degrees
The mattress only fits the large 7-in-1 bed.",155,0.2,>20%  <30%,ECRU,Fabric,125 cm/ 73 cm/ 10 cm,"3,5 kg",127 cm/ 74 cm/ 11 cm,"4,2 kg",PHOTOS
KOKOS-OWAL-MINI,5904844912169,COCONUT MATTRESS FOR OVAL CRIB 7IN1 ,,,"COCONUT mattress - parameters:
Mattress type: foam with coconut insert,
Side: double-sided,
Hardness: H3/H4,
Height: 10 cm,
Cover: hypoallergenic, removable, washable at 40 degrees. The mattress fits a small, oval bed.",105,0.2,>20%  <30%,ECRU,Fabric,73 cm/ 73 cm/ 10 cm,"2,5 kg",74 cm/ 74 cm/ 11 cm,3 kg,PHOTOS
KOKOS-OWAL-MAXI,5904844912152,COCONUT MATTRESS FOR OVAL CRIB 7IN1 ,,,"Large KOKOS mattress for a 7-in-1 oval bed - parameters:
Mattress type: foam with coconut insert,
Side: double-sided,
Hardness: H3/H4,
Height: 10 cm,
Cover: hypoallergenic, removable, washable at 40 degrees
The mattress only fits a large oval bed.",155,0.2,>20%  <30%,ECRU,Fabric,125 cm/ 73 cm/ 10 cm,"3,5 kg",127 cm/ 74 cm/ 11 cm,"4,2 kg",PHOTOS
SH-W2-S-WHITE,5904844915801,Small sheet 73x73 dedicated to the W2 baby bed 7in1.,,,"Information about the sheet:
- designed and sewn in Poland from Polish materials,
- jersey cotton has the Oeko-tex Standard 100 Certificate",27.9,0.2,>20%  <30%,WHITE,Cotton,73 cm/ 73 cm,"0,25 kg",22 cm/ 18 cm/12 cm,"0,3 kg",PHOTOS
SH-W2-S-TAUPE,5904844914996,Small sheet 73x73 dedicated to the W2 baby bed 7in1.,,,"TAUPE (Brown) ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",27.9,0.2,>20%  <30%,BROWN,"Cotton 190gr 
95% cotton 
5% elastane",73 cm/ 73 cm,"0,25 kg",22 cm/ 18 cm/12 cm,"0,3 kg",PHOTOS
SH-W2-S-ROSE,5904844914965,Small sheet 73x73 dedicated to the W2 baby bed 7in1.,,,"ROSE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",27.9,0.2,>20%  <30%,ROSE,"Cotton 190gr 
95% cotton 
5% elastane",73 cm/ 73 cm,"0,25 kg",22 cm/ 18 cm/12 cm,"0,3 kg",PHOTOS
SH-W2-S-PINK,5904844919403,Small sheet 73x73 dedicated to the W2 baby bed 7in1.,,,"PINK ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",27.9,0.2,>20%  <30%,PINK,"Cotton 190gr 
95% cotton 
5% elastane",73 cm/ 73 cm,"0,25 kg",22 cm/ 18 cm/12 cm,"0,3 kg",PHOTOS
SH-W2-S-BLUE,5904844914972,Small sheet 73x73 dedicated to the W2 baby bed 7in1.,,,"BLUE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",27.9,0.2,>20%  <30%,BLUE,"Cotton 190gr 
95% cotton 
5% elastane",73 cm/ 73 cm,"0,25 kg",22 cm/ 18 cm/12 cm,"0,3 kg",PHOTOS
SH-W2-S-CHAMPAGNE,5904844914989,Small sheet 73x73 dedicated to the W2 baby bed 7in1.,,,"CHAMPAGNE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",27.9,0.2,>20%  <30%,CHAMPAGNE,"Cotton 190gr 
95% cotton 
5% elastane",73 cm/ 73 cm,"0,25 kg",22 cm/ 18 cm/12 cm,"0,3 kg",PHOTOS
SH-W2-S-BEIGE,5904844915306,Small sheet 73x73 dedicated to the W2 baby bed 7in1.,,,"BEIGE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",27.9,0.2,>20%  <30%,BEIGE,"Cotton 190gr 
95% cotton 
5% elastane",73 cm/ 73 cm,"0,25 kg",22 cm/ 18 cm/12 cm,"0,3 kg",PHOTOS
SH-W2-S-GRAPHITE,5904844915887,Small sheet 73x73 dedicated to the W2 baby bed 7in1.,,,"GRAPHITE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",27.9,0.2,>20%  <30%,GRAPHITE,"Cotton 190gr 
95% cotton 
5% elastane",73 cm/ 73 cm,"0,25 kg",22 cm/ 18 cm/12 cm,"0,3 kg",PHOTOS
SH-W2-S-GRAY,5904844915924,Small sheet 73x73 dedicated to the W2 baby bed 7in1.,,,"GRAY ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",27.9,0.2,>20%  <30%,GRAY,"Cotton 190gr 
95% cotton 
5% elastane",73 cm/ 73 cm,"0,25 kg",22 cm/ 18 cm/12 cm,"0,3 kg",PHOTOS
SH-W2-M-WHITE,5904844915795,Large sheet 73x122 dedicated to the W2 baby bed 7in1.,,,"Information about the sheet:
- designed and sewn in Poland from Polish materials,
- jersey cotton has the Oeko-tex Standard 100 Certificate",29.9,0.2,>20%  <30%,WHITE,Cotton,122 cm/ 73 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
SH-W2-M-TAUPE,5904844915009,Large sheet 73x122 dedicated to the W2 baby bed 7in1.,,,"TAUPE (Brown) ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",29.9,0.2,>20%  <30%,BROWN,"Cotton 190gr 
95% cotton 
5% elastane",122 cm/ 73 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
SH-W2-M-ROSE,5904844915030,Large sheet 73x122 dedicated to the W2 baby bed 7in1.,,,"ROSE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",29.9,0.2,>20%  <30%,ROSE,"Cotton 190gr 
95% cotton 
5% elastane",122 cm/ 73 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
SH-W2-M-PINK,5904844919410,Large sheet 73x122 dedicated to the W2 baby bed 7in1.,,,"PINK ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",29.9,0.2,>20%  <30%,PINK,"Cotton 190gr 
95% cotton 
5% elastane",122 cm/ 73 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
SH-W2-M-BLUE,5904844915023,Large sheet 73x122 dedicated to the W2 baby bed 7in1.,,,"BLUE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",29.9,0.2,>20%  <30%,BLUE,"Cotton 190gr 
95% cotton 
5% elastane",122 cm/ 73 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
SH-W2-M-CHAMPAGNE,5904844915016,Large sheet 73x122 dedicated to the W2 baby bed 7in1.,,,"CHAMPAGNE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",29.9,0.2,>20%  <30%,CHAMPAGNE,"Cotton 190gr 
95% cotton 
5% elastane",122 cm/ 73 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
SH-W2-M-BEIGE,5904844915313,Large sheet 73x122 dedicated to the W2 baby bed 7in1.,,,"BEIGE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",29.9,0.2,>20%  <30%,BEIGE,"Cotton 190gr 
95% cotton 
5% elastane",122 cm/ 73 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
SH-W2-M-GRAPHITE,5904844915870,Large sheet 73x122 dedicated to the W2 baby bed 7in1.,,,"GRAPHITE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",29.9,0.2,>20%  <30%,GRAPHITE,"Cotton 190gr 
95% cotton 
5% elastane",122 cm/ 73 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
SH-W2-M-GRAY,5904844915931,Large sheet 73x122 dedicated to the W2 baby bed 7in1.,,,"GRAY ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",29.9,0.2,>20%  <30%,GRAY,"Cotton 190gr 
95% cotton 
5% elastane",122 cm/ 73 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
W2-S-WP,5904844914026,COTTON WATERPROOF SHEET SMALL W2,,,"About the sheet:
- waterproof sheet for a large 7-in-1 bed,
- designed and sewn in Poland from Polish materials,
- fits Waldin Baby Collection 7in1 beds.",27.9,0.2,>20%  <30%,WHITE,"
70% cotton 
30% elastane
outer membrane
100% Polyurethane",122 cm/ 73 cm,"0,16 kg",15 cm/ 13 cm/ 11 cm,"0,2 kg",PHOTOS
W2-M-WP,5904844914019,COTTON WATERPROOF SHEET LARGE W2,,,"About the sheet:
- waterproof sheet for a large 7-in-1 bed,
- designed and sewn in Poland from Polish materials,
- fits Waldin Baby Collection 7in1 beds.",29.9,0.2,>20%  <30%,WHITE,"
70% cotton 
30% elastane
outer membrane
100% Polyurethane",122 cm/ 73 cm,"0,25 kg",15 cm/ 13 cm/ 11 cm,"0,3 kg",PHOTOS
W2-SH-SET-J88,5904844913852,COTTON SHEETS W2 SET,,,"Information about the set:
- designed and sewn in Poland from Polish materials,
- jersey cotton has the Oeko-tex Standard 100 Certificate
- fits 7in1 Waldin Baby Collection W2 beds.",49,0.2,>20%  <30%,WHITE,Cotton,"122 cm/ 73 cm
73 cm/ 73 cm","0,6 kg",22 cm/ 18 cm/12 cm,"0,8 kg",PHOTOS
SH-OWAL-S-WHITE,5904844915788,Small sheet 73x73 dedicated to the oval baby bed 7in1.,,,"Information about the sheet:
- designed and sewn in Poland from Polish materials,
- jersey cotton has the Oeko-tex Standard 100 Certificate",27.9,0.2,>20%  <30%,WHITE,Cotton,73 cm/ 73 cm,"0,25 kg",22 cm/ 18 cm/12 cm,"0,3 kg",PHOTOS
SH-OWAL-S-TAUPE,5904844915078,Small sheet 73x73 dedicated to the oval baby bed 7in1.,,,"TAUPE (Brown) ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",27.9,0.2,>20%  <30%,BROWN,Cotton 190 gr 95% cotton 5% elastane,73 cm/ 73 cm,"0,25 kg",22 cm/ 18 cm/12 cm,"0,3 kg",PHOTOS
SH-OWAL-S-ROSE,5904844915054,Small sheet 73x73 dedicated to the oval baby bed 7in1.,,,"ROSE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",27.9,0.2,>20%  <30%,ROSE,Cotton 190 gr 95% cotton 5% elastane,73 cm/ 73 cm,"0,25 kg",22 cm/ 18 cm/12 cm,"0,3 kg",PHOTOS
SH-OWAL-S-PINK,5904844919427,Small sheet 73x73 dedicated to the oval baby bed 7in1.,,,"PINK ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",27.9,0.2,>20%  <30%,PINK,Cotton 190 gr 95% cotton 5% elastane,73 cm/ 73 cm,"0,25 kg",22 cm/ 18 cm/12 cm,"0,3 kg",PHOTOS
SH-OWAL-S-BLUE,5904844915047,Small sheet 73x73 dedicated to the oval baby bed 7in1.,,,"BLUE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",27.9,0.2,>20%  <30%,BLUE,Cotton 190 gr 95% cotton 5% elastane,73 cm/ 73 cm,"0,25 kg",22 cm/ 18 cm/12 cm,"0,3 kg",PHOTOS
SH-OWAL-S-CHAMPAGNE,5904844915061,Small sheet 73x73 dedicated to the oval baby bed 7in1.,,,"CHAMPAGNE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",27.9,0.2,>20%  <30%,CHAMPAGNE,Cotton 190 gr 95% cotton 5% elastane,73 cm/ 73 cm,"0,25 kg",22 cm/ 18 cm/12 cm,"0,3 kg",PHOTOS
SH-OWAL-S-BEIGE,5904844915290,Small sheet 73x73 dedicated to the oval baby bed 7in1.,,,"BEIGE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",27.9,0.2,>20%  <30%,BEIGE,"Cotton 190gr 
95% cotton 
5% elastane",73 cm/ 73 cm,"0,25 kg",22 cm/ 18 cm/12 cm,"0,3 kg",PHOTOS
SH-OWAL-S-GRAPHITE,5904844915894,Small sheet 73x73 dedicated to the oval baby bed 7in1.,,,"GRAPHITE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",27.9,0.2,>20%  <30%,GRAPHITE,"Cotton 190gr 
95% cotton 
5% elastane",73 cm/ 73 cm,"0,25 kg",22 cm/ 18 cm/12 cm,"0,3 kg",PHOTOS
